Years log(V/Vpl)@P1 log(V/Vpl)@P2 
12.229	-0.90816	0.38946
12.234	-0.90319	0.39123
12.238	-0.89854	0.39288
12.242	-0.89391	0.39452
12.247	-0.88895	0.39628
12.251	-0.88374	0.39814
12.256	-0.87847	0.40004
12.26	-0.87362	0.40181
12.264	-0.86894	0.40355
12.268	-0.86365	0.40555
12.273	-0.85772	0.40786
12.277	-0.85286	0.4098
12.281	-0.84782	0.41188
12.285	-0.84228	0.41424
12.29	-0.83653	0.41679
12.294	-0.83112	0.41929
12.298	-0.82618	0.42166
12.301	-0.82112	0.42418
12.305	-0.81548	0.42712
12.31	-0.80934	0.43046
12.313	-0.80438	0.43329
12.317	-0.79913	0.4364
12.321	-0.79303	0.44016
12.325	-0.78742	0.44376
12.329	-0.78155	0.44768
12.332	-0.77709	0.45075
12.335	-0.77224	0.45416
12.34	-0.76426	0.45996
12.345	-0.75605	0.46612
12.349	-0.74818	0.47218
12.353	-0.74305	0.47619
12.356	-0.73719	0.48083
12.359	-0.73233	0.4847
12.362	-0.72728	0.48876
12.365	-0.7218	0.49317
12.369	-0.71288	0.50035
12.372	-0.70771	0.5045
12.377	-0.6989	0.51153
12.382	-0.688	0.5201
12.388	-0.67752	0.52813
12.39	-0.67153	0.53259
12.394	-0.66469	0.53757
12.397	-0.65741	0.54271
12.4	-0.65025	0.54756
12.403	-0.6441	0.55158
12.406	-0.63773	0.55557
12.409	-0.63032	0.55998
12.412	-0.62348	0.56382
12.415	-0.61632	0.56759
12.418	-0.60891	0.57122
12.421	-0.60144	0.57457
12.424	-0.59403	0.57759
12.427	-0.58692	0.5802
12.43	-0.57966	0.58258
12.433	-0.57151	0.58489
12.438	-0.55636	0.58819
12.441	-0.5482	0.58945
12.444	-0.53969	0.59039
12.449	-0.52561	0.59112
12.452	-0.51697	0.59109
12.455	-0.50701	0.59064
12.46	-0.49139	0.58909
12.465	-0.47436	0.58634
12.47	-0.45694	0.58255
12.474	-0.44023	0.57812
12.478	-0.42489	0.57349
12.482	-0.40841	0.56803
12.486	-0.39274	0.56246
12.49	-0.37445	0.5556
12.494	-0.35508	0.54804
12.498	-0.33638	0.54055
12.503	-0.31397	0.53146
12.507	-0.2902	0.52181
12.512	-0.26517	0.51176
12.516	-0.24115	0.50231
12.52	-0.21373	0.49184
12.525	-0.1834	0.48074
12.529	-0.1507	0.46939
12.532	-0.12714	0.46163
12.536	-0.096809	0.45216
12.539	-0.065236	0.44292
12.542	-0.035173	0.4347
12.546	0.0033089	0.42496
12.548	0.036529	0.41721
12.551	0.074568	0.40906
12.555	0.12977	0.39846
12.559	0.19023	0.38837
12.562	0.25132	0.37958
12.565	0.31942	0.37119
12.569	0.42029	0.36105
12.572	0.5304	0.35242
12.575	0.66007	0.34471
12.578	0.86556	0.33623
12.581	1.1768	0.32854
12.584	1.8184	0.32067
12.586	2.408	0.31343
12.589	1.7993	0.30622
12.592	1.5025	0.29825
12.595	1.2919	0.29022
12.598	1.1225	0.28174
12.602	0.9856	0.27312
12.605	0.86481	0.26382
12.609	0.76357	0.25454
12.612	0.68388	0.2461
12.615	0.61715	0.23816
12.618	0.55535	0.23
12.623	0.48467	0.21964
12.626	0.43095	0.21094
12.631	0.3661	0.19942
12.634	0.32955	0.19239
12.637	0.29495	0.18535
12.64	0.2615	0.17818
12.643	0.22439	0.16978
12.648	0.17962	0.15901
12.653	0.12866	0.14583
12.657	0.096034	0.13685
12.661	0.064239	0.12769
12.665	0.037738	0.11972
12.668	0.011992	0.11169
12.672	-0.01604	0.10261
12.677	-0.048569	0.091618
12.683	-0.082035	0.079794
12.687	-0.10765	0.070381
12.692	-0.13289	0.060786
12.697	-0.16	0.05013
12.702	-0.18481	0.040049
12.707	-0.20687	0.030819
12.711	-0.22848	0.02153
12.716	-0.25052	0.011801
12.722	-0.27422	0.0010506
12.728	-0.30016	-0.011061
12.735	-0.32611	-0.02354
12.742	-0.35012	-0.035413
12.749	-0.37431	-0.047699
12.757	-0.4029	-0.062629
12.768	-0.43789	-0.081516
12.781	-0.47541	-0.10251
12.794	-0.50994	-0.12251
12.807	-0.54254	-0.14199
12.818	-0.57019	-0.15895
12.829	-0.59419	-0.17399
12.841	-0.6215	-0.19147
12.859	-0.65873	-0.2159
12.884	-0.70486	-0.2471
12.907	-0.74395	-0.2743
12.925	-0.77228	-0.29443
12.944	-0.80055	-0.31483
12.962	-0.8267	-0.33398
12.981	-0.85098	-0.35197
13	-0.87602	-0.37073
13.012	-0.89026	-0.38148
13.027	-0.90692	-0.39413
13.044	-0.9264	-0.40901
13.056	-0.93927	-0.41889
13.069	-0.95304	-0.42949
13.085	-0.9692	-0.44198
13.099	-0.98258	-0.45236
13.114	-0.99626	-0.46298
13.129	-1.0097	-0.47347
13.143	-1.0222	-0.48315
13.156	-1.0335	-0.49195
13.169	-1.0445	-0.50053
13.184	-1.056	-0.50956
13.199	-1.068	-0.51889
13.213	-1.078	-0.52662
13.226	-1.0878	-0.5343
13.241	-1.0983	-0.54243
13.256	-1.1091	-0.55073
13.269	-1.1178	-0.55746
13.282	-1.1265	-0.56415
13.297	-1.136	-0.57141
13.313	-1.1459	-0.57896
13.326	-1.1535	-0.58477
13.339	-1.1613	-0.59063
13.354	-1.17	-0.5972
13.371	-1.1793	-0.60409
13.383	-1.1859	-0.609
13.396	-1.1927	-0.61404
13.411	-1.2009	-0.61999
13.426	-1.2085	-0.62554
13.442	-1.2162	-0.63108
13.456	-1.2231	-0.63604
13.469	-1.2293	-0.64036
13.482	-1.2353	-0.64459
13.497	-1.242	-0.64923
13.513	-1.2492	-0.65418
13.526	-1.2547	-0.65787
13.539	-1.2603	-0.66163
13.555	-1.2667	-0.66584
13.57	-1.2727	-0.66972
13.585	-1.2787	-0.67352
13.6	-1.2842	-0.67701
13.613	-1.2893	-0.68016
13.627	-1.2943	-0.6832
13.642	-1.2996	-0.68636
13.657	-1.3051	-0.68958
13.671	-1.3098	-0.69223
13.685	-1.3144	-0.69482
13.7	-1.3194	-0.6975
13.716	-1.3245	-0.70017
13.729	-1.3287	-0.70233
13.743	-1.3329	-0.70442
13.758	-1.3374	-0.7066
